Site,SubSite,CaptureDate,Species,IndividualID,Sex,MassG,SVLmm,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
LostHorse,1,4/29/20,RALU,900111880425843,F,24.2,70,Y,0,2001800301,pos,187.476819951312,20ARMI0581,LR2 toe clipped today. Sloughing skin on groin.,0,0,,
LostHorse,1,4/29/20,RALU,900111880425286,F,25.4,69,Y,0,2001800316,pos,1073.6534441606,20ARMI0606,LR2 toe clipped today,0,0,,
LostHorse,1,4/29/20,RALU,900111880425823,M,10.8,48,Y,0,2001800317,pos,1691.45247868884,20ARMI0601,LR2 toe clipped today,0,0,,
LostHorse,1,4/29/20,RALU,900111880425460,F,33.5,77,Y,0,2001800318,pos,50633.2943005451,20ARMI0591,LR2 toe clipped today,0,0,,
LostHorse,1,4/29/20,RALU,900111880426324,F,18,59,Y,0,2001800319,pos,97529.4555073215,20ARMI0495,LR2 toe clipped today,0,0,,
LostHorse,1,4/29/20,RALU,900111880425818,F,29.2,73,Y,0,2001800320,pos,2293.75727946392,20ARMI0509,LR2 toe clipped today,0,0,,
LostHorse,1,4/29/20,RALU,900111880425875,M,11.7,54,Y,0,2001800321,pos,339.40336893791,20ARMI0569,LR2 toe clipped today,0,0,,
LostHorse,1,4/29/20,RALU,900111880425291,F,26.5,71,Y,0,2001800322,pos,1009.09737614111,20ARMI0568,LR2 toe clipped today,0,0,,
LostHorse,1,4/29/20,RALU,900111880425802,M,16.8,58,Y,0,2001800323,neg,0,20ARMI0477,LR2 toe clipped today,0,0,,
LostHorse,1,4/29/20,RALU,900111880425821,M,17.5,57,Y,0,2001800324,pos,879.330377490206,20ARMI0613,LR2 toe clipped today,0,0,,
LostHorse,1,4/29/20,RALU,900111880425743,F,36,75,Y,0,2001800325,pos,1112.38030255426,20ARMI0504,LR2 toe clipped today,0,0,,
LostHorse,1,5/6/21,RALU,900111880425851,F,25.7,71,Y,0,2002900052,pos,15650.2762745773,,Has LR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425547,F,19.6,65,Y,0,2002900057,pos,795.514465808901,,Has RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425841,M,13.3,51,Y,0,2002900059,pos,189145.002192744,,Has LR2,0,0,,
LostHorse,1,4/30/21,RALU,900111880425775,M,13.9,55,Y,0,2100400133,pos,1824.35670183538,21ARMI1036,Gave RR2,0,0,,
LostHorse,1,4/30/21,RALU,900111880425779,M,10.7,50,Y,0,2100400134,pos,1974.41953702645,21ARMI1008,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425655,M,15.7,57,Y,0,2100400135,pos,91478.0541996187,,"Has RR2; caught 4/30/21, swabbed today",0,0,,
LostHorse,1,5/5/21,RALU,900111880425301,M,17.6,56,Y,0,2100400136,pos,206.66540874068,,Has LR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880426578,M,18.4,61,Y,0,2100400137,pos,29940.7150728681,,Has RR2,0,0,,
LostHorse,1,4/30/21,RALU,900111880425591,F,23.7,67,Y,0,2100400138,pos,8727.63701698266,21ARMI1016,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425647,M,10.7,52,Y,0,2100400139,pos,5321.57526856882,,"Has RR2; caught 4/30/21, swabbed today",0,0,,
LostHorse,1,5/5/21,RALU,900111880425607,M,15,56,Y,0,2100400140,pos,3932.24335113699,21ARMI1034,Gave RR2,0,0,,
LostHorse,1,4/30/21,RALU,900111880425320,F,35.2,73,Y,0,2100400141,pos,3431.24143384828,21ARMI1032,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425545,M,14.7,56,Y,0,2100400142,pos,11819.3187090169,21ARMI1026,Gave RR2,0,0,,
LostHorse,1,4/30/21,RALU,900111880425622,M,15.8,57,Y,0,2100400143,pos,226.425061565326,21ARMI1015,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425543,M,15.3,55,Y,0,2100400144,pos,14739.3659101558,21ARMI1022,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425641,F,24.9,69,Y,0,2100400145,pos,3041.36760615175,21ARMI1029,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425642,F,30.5,72,Y,0,2100400146,pos,2757.1015176003,21ARMI1025,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425651,F,14,54,Y,0,2100400147,pos,4424.24293697219,21ARMI1005,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425653,M,17.4,58,Y,0,2100400148,pos,5018.67291711567,21ARMI1010,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425656,F,31.5,75,Y,0,2100400149,pos,26090.4258695347,21ARMI1003,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425657,F,15.9,55,Y,0,2100400150,pos,419808.433839005,21ARMI1006,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425645,M,11.5,53,Y,0,2100400151,pos,466894.399357812,21ARMI1011,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425654,F,30.1,73,Y,0,2100400152,pos,6946.32210136366,21ARMI1023,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425659,F,13.1,50,Y,0,2100400153,pos,180826.661530517,21ARMI1020,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425644,M,17,59,Y,0,2100400154,pos,448495.280313174,21ARMI1017,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425649,M,14.3,54,Y,0,2100400155,pos,116275.910914376,21ARMI1007,Gave RR2,0,0,,
LostHorse,1,5/5/21,RALU,900111880425546,F,14.7,54,Y,0,2100400156,pos,6169.64808487039,21ARMI1004,Gave RR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425765,M,15.1,56,Y,0,2100400157,pos,3613.62547380743,21ARMI0970,Gave RR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425318,F,31.5,69,Y,0,2100400158,pos,928.597949436801,21ARMI0999,Gave RR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425634,F,33.3,73,Y,0,2100400159,pos,5654.30671406275,21ARMI0994,Gave RR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425773,F,38,77,Y,0,2100400160,pos,4817.61576664704,21ARMI0976,Gave RR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425316,M,13.4,50,Y,0,2100400161,pos,2563.22413611804,21ARMI0982,Gave RR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425589,M,13.9,54,Y,0,2100400162,pos,848.138861034748,21ARMI0964,Gave RR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425583,M,11.8,52,Y,0,2100400163,pos,16247.9664482887,21ARMI0983,Gave RR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425635,F,29.3,67,Y,0,2100400164,pos,474.916548671062,21ARMI0990,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425588,F,33.9,72,Y,0,2100400165,pos,3170.45500617556,21ARMI0992,Gave RR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425762,F,23.9,69,Y,0,2100400166,pos,811.391590422035,21ARMI0979,Gave RR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425581,F,27.3,72,Y,0,2100400167,pos,166.288096569718,21ARMI0966,Gave RR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425312,M,14.3,55,Y,0,2100400168,pos,235.553377709342,21ARMI0968,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425590,M,13.6,51,Y,0,2100400169,pos,15074.5724549667,21ARMI0995,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425623,F,23.2,65,Y,0,2100400170,neg,0,21ARMI0993,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425586,M,17.3,57,Y,0,2100400171,pos,614.028845799289,21ARMI0985,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425780,M,10.7,50,Y,0,2100400172,pos,3892.25426846126,21ARMI0991,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425624,M,18.2,58,Y,0,2100400173,pos,8853.42947434546,,"Has LR2, no toe clipped",0,0,,
LostHorse,1,4/28/21,RALU,900111880425639,M,14.1,50,Y,0,2100400174,pos,3813.49197847635,21ARMI0989,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425307,M,15.2,55,Y,0,2100400175,pos,4076.85720958488,21ARMI0971,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425770,F,24.9,65,Y,0,2100400176,pos,1100.31785727084,21ARMI0977,"Gave RR2 (lost), Gave LR2",0,0,,
LostHorse,1,4/28/21,RALU,900111880425627,F,28.9,68,Y,0,2100400177,pos,3705.8951201757,21ARMI0987,Gave RR2,0,0,,
LostHorse,1,4/28/21,RALU,900111880425315,M,15.3,55,Y,0,2100400178,neg,0,21ARMI0965,Gave RR2,0,0,,
