Site,SubSite,CaptureDate,Species,IndividualID,SVLmm,Sex,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
SMNWR_E,SMNWR0145,4/19/2018,AMCI,ac-313,42,U,J,,Y,1,1702000024,,,,during capture 1/3 of tail was lost (autotomy?),1,0,,
SMNWR_E,SMNWR0145,4/23/2018,AMCI,AC-332,42,U,J,,Y,1,1702000044,,,,"missing 1/3 of tail, very larval appearance",1,0,,
SMNWR_E,SMNWR1601,5/16/2018,AMCI,AC-388,42,U,J,,Y,1,1603000338,,,,,0,0,,
SMNWR_E,SMNWR0145,5/8/2018,AMCI,AC-366,41,U,J,,Y,1,1603000270,,,, missing >2/3 of tail,1,0,,
SMNWR_E,SMNWR1601,5/3/2018,AMCI,AC-358,40,U,J,,Y,1,1603000262,,,,missing 1/3 of tail,1,0,,
SMNWR_W,SMNWR3001,5/15/2018,AMCI,AC-409,38,U,J,,Y,0,1603000033,neg,0,,tagged 5/18,0,0,,
SMNWR_E,SMNWR1601,5/16/2018,AMCI,AC-432,37,U,J,,N,,,,,,tagged 5/18; missing most of tail,1,0,,
SMNWR_W,SMNWR3001,5/15/2018,AMCI,AC-379,37,U,J,,Y,1,1603000045,,,,tagged 5/18; missing tail,1,0,,
SMNWR_W,SMNWR3001,5/18/2018,AMCI,AC-442,36,U,J,,N,,,,,,"no swab; severely truncated tail, missing back left leg",1,0,,
SMNWR_E,SMNWR1601,5/15/2018,AMCI,AC-347,,U,J,,N,,,,,,Recapture,0,0,,
SMNWR_E,SMNWR1601,5/15/2018,AMCI,ACT-18-113,,U,J,,N,,,,,,Recapture,0,0,,
SMNWR_E,SMNWR1601,5/16/2018,AMCI,AC-317,,U,J,,N,,,,,,Recapture,0,0,,
SMNWR_E,SMNWR1601,5/16/2018,AMCI,ACT-18-123,,U,J,,N,,,,,,Recapture,0,0,,
SMNWR_E,SMNWR1601,5/18/2018,AMCI,ACT-18-167,,U,J,,N,,,,,,Recapture,0,0,,
SMNWR_W,SMNWR3001,5/18/2018,AMCI,ACT-18-227,,U,J,,N,,,,,,Recapture,0,0,,
