Site,SubSite,CaptureDate,Species,IndividualID,Sex,SVLmm,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
DilmanMeadows,1,7/28/21,RAPR,982126059648502,2,54.00,SA,16.50,Y,0,2003100019,pos,922.291624709939,21ARMI0891,"LF3 and LR1 either removed by clip or injury. See photos. Likely female. JCR 10/2/2021: Caught 10/1/2020 with no old or new clips, so clips most likely from injury.",1,0,,
DilmanMeadows,1,7/28/21,RAPR,982126056702494,99,50.50,SA,12.00,Y,0,2003100153,pos,54.9102858216308,21ARMI0894,Other veg was small herbaceous plants and grass. Frog was ~5m from water.,0,0,,
DilmanMeadows,1,9/15/21,RAPR,982126059770203,99,40.00,SA,5.50,Y,0,2101100074,pos,6555.40527552644,21ARMI0895,,0,0,,
DilmanMeadows,1,7/28/21,RAPR,982126059654425,2,62.00,A,23.00,Y,0,2003100015,pos,72214.4010978508,21ARMI0898,Skin appears thin and translucent on hip crests,1,0,,
DilmanMeadows,1,7/28/21,RAPR,982126056701434,1,48.00,A,12.00,Y,0,2003100016,pos,389.225426846125,21ARMI0899,,0,0,,
DilmanMeadows,1,9/15/21,RAPR,982126059644598,99,42.00,SA,7.00,Y,0,2101100075,pos,5249.54059250998,21ARMI0911,,0,0,,
DilmanMeadows,1,9/15/21,RAPR,982126052721517,99,40.00,SA,5.00,Y,0,2101100073,pos,16017.1099612516,21ARMI0913,,0,0,,
DilmanMeadows,1,7/29/21,RAPR,982126053068209,1,55.00,A,16.50,Y,0,2003100031,pos,82.5332868147437,21ARMI0918,RR2 appeared clipped but not positive (see photo). JCR 10/1/2021: Confirmed RR2 has been clipped previously.,0,0,,
DilmanMeadows,1,7/27/21,RAPR,982126056701399,1,59.00,A,16.00,Y,0,2003100157,pos,109.13569405543,21ARMI0919,On bank of seep.,0,0,,
DilmanMeadows,1,9/15/21,RAPR,982126059659489,99,40.00,SA,5.00,Y,0,2101100071,pos,841.231673581992,21ARMI0950,,0,0,,
DilmanMeadows,1,9/29/20,RAPR,982126059652781,1,52.00,A,16.00,Y,0,2003100147,pos,244.882771769489,29ARMI1159,,0,0,,
DilmanMeadows,1,9/27/18,RAPR,982126052699614,2,54.00,A,15.50,Y,0,1801100194,pos,2725.34622879404,,,0,0,,
DilmanMeadows,1,9/26/18,RAPR,982126053080123,2,66.00,A,32.00,Y,0,1801100172,pos,181.443824755121,,,0,0,,
ThreeCreeks,1,10/2/18,RACA,985153000403581,2,83.00,A,68.00,Y,0,1801100203,pos,6140.2884579929,,No UTMs given.,0,0,,
DilmanMeadows,1,8/1/18,RAPR,982126053033315,99,44.00,SA,8.90,Y,1,1603900092,,,18ARMI1566,,0,0,,
DilmanMeadows,1,8/1/18,RAPR,982126053083930,99,42.00,SA,7.20,Y,1,1603900068,,,18ARMI1585,,0,0,,
DilmanMeadows,1,8/1/18,RAPR,982126053024699,2,44.00,A,8.60,Y,1,1603900067,,,18ARMI1587,RACA lost part of LR4 from the scale,0,0,,
DilmanMeadows,1,8/1/18,RAPR,982126052721050,99,46.00,SA,9.60,Y,1,1603900091,,,18ARMI1597,,0,0,,
DilmanMeadows,1,8/1/18,RAPR,982126052715173,2,53.00,A,15.00,Y,1,1603900094,,,18ARMI1605,,0,0,,
DilmanMeadows,1,7/31/18,RAPR,982126053030926,2,60.00,A,19.80,Y,1,1603900059,,,18ARMI1606,,0,0,,
DilmanMeadows,1,8/1/18,RAPR,982126052304809,2,64.00,A,27.70,Y,1,1603900093,,,18ARMI1612,,0,0,,
DilmanMeadows,1,8/2/18,RAPR,982126053022477,2,51.00,A,12.00,Y,1,1801100048,,,18ARMI1621,,0,0,,
DilmanMeadows,1,7/31/18,RAPR,982126053080123,2,61.00,A,27.00,Y,1,1603900030,,,18ARMI1624,,0,0,,
DilmanMeadows,1,8/1/18,RAPR,982126053077122,2,58.00,A,19.10,Y,1,1603900095,,,18ARMI1626,,0,0,,
DilmanMeadows,1,8/1/18,RAPR,982126053016407,99,40.00,SA,6.80,Y,1,1603900096,,,18ARMI1629,,0,0,,
DilmanMeadows,1,7/31/18,RAPR,982126052293529,99,43.00,SA,18.50,Y,1,1603900058,,,18ARMI1632,,0,0,,
