Site,SubSite,CaptureDate,Species,IndividualID,SVLmm,Sex,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/sawb,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
SanFrancisquito,1,11/5/20,RADR,845296834,93.0,F,A,90.0,Y,0,1903200078,pos,2475.6734606391,,CJH20-047 -S17,0,,,
SanFrancisquito,1,11/5/20,RADR,845263051,94.0,F,A,102.0,Y,0,1903200079,pos,281.980424708277,,CJH20-047 -S10,0,,,
SanFrancisquito,1,11/5/20,RADR,845263552,97.0,F,A,110.0,Y,0,1903200080,pos,29455.0303975607,,CJH20-047 -S9,0,,,
SanFrancisquito,1,11/4/20,RADR,841559829,74.0,M,A,47.0,Y,0,1903200081,neg,0,,CJH20-046 -S35,0,,,
SanFrancisquito,1,11/4/20,RADR,836530322,76.0,M,A,65.0,Y,0,1903200082,pos,339.634730723253,,CJH20-046 -S32,0,,,
SanFrancisquito,1,11/4/20,RADR,605533315,63.0,F,A,33.0,Y,0,1903200083,pos,4144.08060210516,18ARMI1098,CJH20-046 -S30,0,,,
SanFrancisquito,1,11/4/20,RADR,845296621,92.0,F,A,86.0,Y,0,1903200084,pos,2076.53573927156,,CJH20-046 -S29,0,,,
SanFrancisquito,1,11/4/20,RADR,605525017,79.0,M,A,55.0,Y,0,1903200085,pos,946.486002481579,19ARMI1955,CJH20-046 -S28,0,,,
SanFrancisquito,1,11/4/20,RADR,605535793,72.0,M,A,49.5,Y,0,1903200086,neg,0,18ARMI1109,CJH20-046 -S23,0,,,
SanFrancisquito,1,11/4/20,RADR,845529850,96.0,F,A,105.0,Y,0,1903200087,pos,1752.46345106364,,CJH20-046 -S21,0,,,
SanFrancisquito,1,11/4/20,RADR,605530024,84.0,M,A,51.5,Y,0,1903200088,pos,65912.3977561333,19ARMI1867,CJH20-046 -S17,0,,,
SanFrancisquito,1,11/4/20,RADR,044038116,85.0,M,A,65.5,Y,0,1903200089,pos,4758.88422860759,20ARMI0916,CJH20-046 -S16,0,,,
SanFrancisquito,1,11/4/20,RADR,044035879,87.0,F,A,70.5,Y,0,1903200090,pos,2690.28764798401,,CJH20-046 -S15,0,,,
SanFrancisquito,1,11/4/20,RADR,845263842,80.0,F,A,63.0,Y,0,1903200091,pos,33778.8243385219,,CJH20-046 -S10,0,,,
SanFrancisquito,1,11/4/20,RADR,605525333,84.0,M,A,54.5,Y,0,1903200092,pos,112380.891559379,19ARMI1900,CJH20-046 -S7,0,,,
SanFrancisquito,1,11/4/20,RADR,044063269,101.0,F,A,115.0,Y,0,1903200093,neg,0,,CJH20-046 -S6,0,,,
