Site,SubSite,CaptureDate,Species,PondLocation,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead,HP,Abundance,Area,Density,Temp,Temp_1w,Temp_2w,Temp_3w,Temp_4w,Air_Max,Air_Max1,Air_Max2,Air_Max3,Air_Max4,Site_temp,Site_temp1,Site_temp2,Site_temp3,Site_temp4
ScotiaBarrens,P2,5/14/2020,NOVI,NR,BYYYOO,M,,42,,Y,0,2003200196,pos,299.2029494,,Missing fourth position mark. Incorrectly ID'd as BYYxOO. Changed to BYYYOO due to sex and measurements.,,1,Wrong animal?,,Long,205.7463258,1196.051667,0.172021269,,,,,,11.39444444,6.691269841,12.11269841,8.76031746,4.446825397,10.22633073,8.942712277,11.36282448,9.074887748,7.101473983
ScotiaBarrens,P1,5/15/2020,NOVI,D15,BRYORR,F,,38,,Y,0,2003200179,pos,34547.00322,,Incorrectly ID'd as xRYORR. Changed to BRYORR based on sex and measurements.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,9.893618056,8.476214782,10.69973909,8.904417163,6.990636409,19.25,7.092063492,11.52857143,9.654761905,5.149206349,11.33029271,9.019690799,11.29575211,9.323552232,7.170244742
ScotiaBarrens,P1,5/15/2020,NOVI,D14,YxOORR,M,,40,,Y,0,2003200163,pos,204284.9462,,Recapture discrepancy. Recorded as a recapture twice in 2019. Likely a lost mark. Sex the same and measurements similar to this individual.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,9.893618056,8.476214782,10.69973909,8.904417163,6.990636409,19.25,7.092063492,11.52857143,9.654761905,5.149206349,11.33029271,9.019690799,11.29575211,9.323552232,7.170244742
ScotiaBarrens,A11,5/19/2020,NOVI,D1-5,YBOBBB,M,,43,,Y,0,2003000146,pos,9907.000722,,"Lost 1st postions mark? Not O, maybe B? Remarked 3rd postion.Changing to YBOBBB.",,1,Wrong animal?,,Long,43.8555992,268.845,0.163125962,13.62170833,10.74130714,9.663608333,9.987747619,8.6902,15.72777778,13.65555556,6.451587302,13.15238095,6.780952381,14.72297656,11.45458026,9.754328051,10.51171766,8.81567314
ScotiaBarrens,P1,5/21/2020,NOVI,D8,ROBYRR,M,,40,,Y,0,2002100230,pos,1002.243547,,Incorrectly ID'd as ROxYRR since never recorded as new. Changed to ROBYRR based on sex.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,13.18650694,11.82242262,8.497824901,10.71660069,8.685295635,13.08333333,15.26587302,6.691269841,12.11269841,8.76031746,13.39062153,13.0066908,8.942712277,11.36282448,9.074887748
ScotiaBarrens,P1,5/21/2020,NOVI,D15,YBRYRR,F,,40,,Y,0,2002100226,pos,6654.416743,,Incorrectly ID'd as xBRYRR. Changed to YBRYRR since BBRYRR caught on same day.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,13.18650694,11.82242262,8.497824901,10.71660069,8.685295635,13.08333333,15.26587302,6.691269841,12.11269841,8.76031746,13.39062153,13.0066908,8.942712277,11.36282448,9.074887748
ScotiaBarrens,SC37,5/22/2020,NOVI,D5,xxYRYO,M,,41,,Y,0,2002100054,pos,207229.3291,,Current code is xxY(RY)YO. Origil code was xxYRYO based on sex.,,1,Wrong animal?,,Long,1919.651667,1869.461667,1.026847301,15.33647917,14.69863294,9.591320437,12.21847619,9.844021825,15.92777778,15.50714286,7.092063492,11.52857143,9.654761905,14.3638533,13.45873234,9.019690799,11.29575211,9.323552232
ScotiaBarrens,P2,6/9/2020,NOVI,,YRYROY,M,,37,,Y,0,2003500052,pos,17644.44784,,"2003500052, Accidentally marked as YRYROY",,1,Wrong animal?,,Long,205.7463258,1196.051667,0.172021269,,,,,,22.78333333,20.34761905,19.08015873,16.16428571,13.65555556,18.3870651,17.65081225,18.11764459,14.97191071,11.45458026
ScotiaBarrens,P2,6/11/2020,NOVI,NR,BYYOOO,M,,45,,Y,0,2002100291,pos,14431.25617,,Incorrectly ID'd as BYYxOO. Changed to BYYYOO due to sex and measurements.,,1,Wrong animal?,,Long,205.7463258,1196.051667,0.172021269,,,,,,21.47222222,21.31825397,18.48333333,18.40238095,15.26587302,19.62650434,18.59703956,17.29516766,16.14190873,13.0066908
ScotiaBarrens,A04,6/12/2020,NOVI,NR,xYBRYB,M,,43,,Y,0,2001700381,pos,1039.810811,,Incorrectly ID'd as xYBRYx. Changed to xYBRYB.,,1,Wrong animal?,,Short,15.15,154.595,0.097997995,,,,,,19.41666667,21.43095238,18.2968254,19.67460317,15.50714286,18.54442708,18.83690613,17.16107664,16.92697359,13.45873234
ScotiaBarrens,P1,6/16/2020,NOVI,D5/6,ORxYRR,F,,38,,Y,0,2001700169,pos,80149.92676,,Incorrectly recorded as ORxYYRR. Changed to ORxYRR.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,16.62464236,17.96991716,17.62603919,17.82898413,14.44458581,17.83333333,19.20793651,20.34761905,19.08015873,16.16428571,16.51434028,17.91197247,17.65081225,18.11764459,14.97191071
ScotiaBarrens,P1,6/17/2020,NOVI,D14,BxOBRR,F,,38,,Y,0,2001700145,pos,15650.26357,,B and O floater.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,16.97138542,17.70888343,18.16672817,17.38204613,15.03492758,19.64444444,18.50079365,21.24761905,18.19126984,17.16111111,17.00925694,17.64444035,18.13745523,17.64882577,15.47752778
ScotiaBarrens,SC37,6/17/2020,NOVI,D1,OBYOYB,M,,36,,Y,0,2001700129,pos,1067.815461,,Remarked all marks except 2nd position and left 6th position blank. Incorrectly ID'd as OBYOYx. Changed to OBYOYB.,,1,Wrong animal?,,Long,1919.651667,1869.461667,1.026847301,18.03994444,18.59125595,19.25283532,18.75139385,16.81142163,19.64444444,18.50079365,21.24761905,18.19126984,17.16111111,17.00925694,17.64444035,18.13745523,17.64882577,15.47752778
ScotiaBarrens,A11,7/6/2020,NOVI,D2,xRRRxx,M,,40,,Y,0,2001700076,pos,8315.419992,,Incorrectly ID'd as xRRRRxx with an extra R. Changed to xRRRxx.,,1,Wrong animal?,,Long,43.8555992,268.845,0.163125962,22.78683333,21.6098244,19.21495685,16.78599107,17.39475595,25.39444444,23.68730159,21.58809524,19.49603175,19.30634921,22.52761545,21.62844891,19.62297966,17.61408755,18.16918031
ScotiaBarrens,P1,7/6/2020,NOVI,D2,xxBORR,M,,36,,Y,0,2002100113,pos,21107.74071,,"Old code xxBORR, remarked xBBORR.",,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,22.76089583,21.39687698,19.911,17.79732738,18.17558185,25.39444444,23.68730159,21.58809524,19.49603175,19.30634921,22.52761545,21.62844891,19.62297966,17.61408755,18.16918031
ScotiaBarrens,P1,7/7/2020,NOVI,D4,BBRYRR,F,,39,,Y,0,2002100331,pos,101.6689001,,Accidentally remarked as BBR(RY)RR.,,1,Wrong animal?,,Long,441.5531583,560.6216667,0.787613438,22.69925347,21.65643304,19.97821379,18.40103621,17.96991716,23.36111111,23.93730159,21.81190476,20.11428571,19.20793651,22.57691319,21.94622586,19.93492477,18.24647288,18.00404762
