Site,SubSite,CaptureDate,Species,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,
Blackrock-C,ML,6/2/2020,ANBO,3810285,M,,66.5,38,Y,0,1603600198,pos,752281.79,19ARMI2882,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,3019324,M,,66.1,38,Y,0,1603600232,pos,21382.82,,,0,0,,
Blackrock-C,QU,5/30/2019,ANBO,3269103,M,,65.9,38,N,,,,,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,75068611,M,,65.1,38,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2019,ANBO,152205224A,M,,64.84,38,Y,0,1902500144,pos,470086.87,,,0,0,,
Blackrock-C,QU,5/25/2019,ANBO,3296561,M,,64.4,38,N,,,,,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147337753A,M,,64.1,38,N,,,,,,captured QU 5/5,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147359192A,M,,63.7,38,N,,,,,,,0,0,,
Blackrock-C,ML,5/13/2018,ANBO,147354365A,M,,62.7,38,Y,0,1800700083,pos,32781.05,18ARMI1355,,0,0,,
Blackrock-C,QU,5/30/2019,ANBO,3273588,M,,62.5,38,N,,,,,,,0,0,,
Blackrock-C,QU,5/12/2019,ANBO,3298020,M,,61.76,38,Y,0,1902500084,neg,0,,purple gray splotches around vent?,1,0,,
Blackrock-C,QU,5/15/2018,ANBO,14362514A,M,,61.6,38,N,,,,,,,0,0,,
Blackrock-C,QU,5/6/2019,ANBO,147348394A,M,,61.2,38,Y,0,1902500014,pos,1039.81,,already had toe clipped,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,3270263,M,,59.8,38,N,,,,,,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,75052293,M,,59.5,38,N,,,,,,,0,0,,
Blackrock-C,QU,5/21/2019,ANBO,3289630,M,,59.28,38,N,,,,,,,0,0,,
Blackrock-C,QU,5/8/2018,ANBO,147344612A,M,,56.5,38,N,,,,,,,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,75072075,M,,69,37.9,N,,,,,,,0,0,,
Blackrock-H,HE,5/31/2021,ANBO,3278856,M,,63,37.9,Y,0,2002200073,pos,12304.20,,,0,0,,
Blackrock-C,QU,5/3/2018,ANBO,147362577A,M,,61.3,37.9,Y,0,1800700387,pos,647.11,18ARMI1419,,0,0,,
Blackrock-C,ML,5/25/2021,ANBO,3299819,M,,74,37.8,Y,0,2002200096,pos,401.07,,,0,0,,
Blackrock-H,HE,5/18/2021,ANBO,3275572,M,,69.5,37.6,Y,0,2002200038,pos,22.15,,,0,0,,
Blackrock-C,QU,5/13/2021,ANBO,152207402A,M,,72.4,37.5,N,,,,,,,0,0,,
Blackrock-C,QU,5/12/2021,ANBO,75065623,M,,71.9,37.4,Y,0,2002200127,pos,456.20,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3302551,M,,53.2,37.4,Y,1,1603600067,,,19ARMI2898,,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,3268046,M,,71.9,37.3,N,,,,,,,0,0,,
Blackrock-C,QU,5/13/2021,ANBO,152206385A,M,,71.5,37.3,N,,,,,,,0,0,,
Blackrock-H,HE,5/18/2021,ANBO,3283355,M,,61.5,37.3,Y,0,2002200043,pos,121.79,,,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,3281027,M,,67.1,37.1,N,,,,,,,0,0,,
Blackrock-C,ML,5/18/2018,ANBO,3783886,M,,73.7,37,N,,,,,,pink legs,1,0,,
Blackrock-C,ML,5/18/2018,ANBO,147336691A,M,,73.4,37,N,,,,,,captured QU 5/5 and 5/8,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,3272292,M,,69.8,37,N,,,,,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147338223A,M,,68.8,37,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,75070119,M,,66.4,37,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2019,ANBO,3296561,M,,66.38,37,Y,0,1902500140,pos,2523363.61,,slight pink on middle belly,1,0,,
Blackrock-C,QU,5/30/2019,ANBO,147352335A,M,,65.5,37,N,,,,,,,0,0,,
Blackrock-C,QU,5/30/2019,ANBO,152204486A,M,,64.7,37,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,75068611,M,,64.7,37,N,,,,,,,0,0,,
Blackrock-C,ML,5/13/2018,ANBO,147362691A,M,,64.4,37,Y,0,1800900070,pos,115093.44,,Red Toes,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,3002268,U,,64.4,37,N,,,,,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,3270263,M,,64.2,37,N,,,,,,,0,0,,
Blackrock-C,ML,5/14/2018,ANBO,147357267A,M,,64.1,37,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,75052293,M,,63.4,37,N,,,,,,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,152206533A,M,,63.3,37,N,,,,,,captured ML 5/18,0,0,,
Blackrock-C,QU,5/8/2018,ANBO,147353760A,M,,63,37,N,,,,,,,0,0,,
Blackrock-C,ML,6/2/2020,ANBO,75069553,M,,62.8,37,Y,0,1603600194,pos,101392.23,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147356366A,M,,62.8,37,N,,,,,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,70619800,M,,62.5,37,Y,1,1603700121,,,,,0,0,,
Blackrock-C,ML,5/18/2018,ANBO,147362222A,M,,61.6,37,N,,,,,,,0,0,,
Blackrock-C,QU,5/12/2019,ANBO,152175320A,M,,61.06,37,Y,0,1902500087,pos,3431.24,,,0,0,,
Blackrock-C,QU,5/3/2018,ANBO,147346643A,M,,59.7,37,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,75069553,M,,59.3,37,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,3004378,M,,59.1,37,N,,,,,,,0,0,,
Blackrock-C,ML,5/27/2021,ANBO,3301015,M,,72.4,36.8,N,,,,,,,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,3300566,M,,69.3,36.7,N,,,,,,,0,0,,
Blackrock-C,QU,5/3/2018,ANBO,147354564A,M,,61.8,36.4,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3285530,M,,78.4,36.2,Y,1,1603600078,,,,,0,0,,
Blackrock-C,QU,5/6/2021,ANBO,75049556,M,,75.2,36.2,Y,0,2002200141,neg,0,,,0,0,,
Blackrock-C,QU,5/12/2021,ANBO,70608591,M,,65.2,36.2,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2019,ANBO,3273588,M,,70.83,36,Y,0,1902500148,pos,4726.57,,,0,0,,
Blackrock-C,ML,5/13/2018,ANBO,147354565A,M,,69.8,36,Y,0,1800900071,pos,114078.36,,captured QU 5/3 and 5/5,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,147353450A,M,,69.1,36,N,,,,,,captured QU 5/8,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147362577A,M,,67.2,36,N,,,,,,,0,0,,
Blackrock-C,QU,5/8/2018,ANBO,147336467A,M,,67.2,36,N,,,,,,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,147362516A,M,,66.9,36,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2019,ANBO,3295307,M,,66.48,36,Y,0,1902500168,neg,0,,two small lesions on chin,1,0,,
Blackrock-C,ML,5/22/2018,ANBO,152204525A,M,,66.1,36,N,,,,,,captured ML 5/18,0,0,,
Blackrock-C,QU,5/12/2019,ANBO,3273588,M,,65.98,36,Y,0,1902500108,pos,5894.30,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147344772A,M,,65.9,36,N,,,,,,,0,0,,
Blackrock-C,QU,5/25/2019,ANBO,152175320A,M,,65.8,36,N,,,,,,lesion on lip,1,0,,
Blackrock-H,HE,5/28/2020,ANBO,3784309,M,,65,36,Y,0,1603600192,pos,2723.49,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,147337350A,M,,64,36,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147346643A,M,,63.5,36,N,,,,,,,0,0,,
Blackrock-C,ML,6/2/2020,ANBO,147337350A,M,,63.4,36,Y,0,1902500266,pos,19879.20,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,3019638,M,,63.1,36,N,,,,,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147354631A,M,,61.5,36,N,,,,,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,75074067,M,,61.3,36,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147344612A,M,,60.8,36,Y,0,1800700180,pos,3818.69,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,75045075,M,,59.1,36,N,,,,,,,0,0,,
Blackrock-C,QU,5/6/2019,ANBO,147338271A,M,,59.08,36,Y,0,1902500021,neg,0,19ARMI2941,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,75073624,M,,58.8,36,N,,,,,,,0,0,,
Blackrock-H,HE,5/18/2021,ANBO,3276088,M,,72.3,35.7,Y,0,2002200046,pos,2136.83,21ARMI1421,,0,0,,
Blackrock-C,QU,5/3/2018,ANBO,147356135A,M,,62.2,35.5,Y,0,1800700094,pos,13216.84,,,0,0,,
Blackrock-C,ML,5/25/2021,ANBO,147337350A,M,,69.1,35.3,Y,0,2002200092,neg,0,,,0,0,,
Blackrock-C,QU,5/3/2018,ANBO,147354565A,M,,58.6,35.1,N,,,,,,,0,0,,
Blackrock-C,QU,5/25/2019,ANBO,152206000A,M,,68.9,35,N,,,,,,,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,3274600,M,,68.3,35,N,,,,,,,0,0,,
Blackrock-C,QU,5/8/2018,ANBO,147346394A,M,,66.8,35,N,,,,,,,0,0,,
Blackrock-C,SP,5/26/2018,ANBO,152204581A,M,,65.9,35,Y,0,1800900039,pos,927.97,,Bite on abdomen?,1,0,,
Blackrock-C,SP,5/22/2018,ANBO,147362514A,M,,64.5,35,Y,0,1800900050,pos,594674.52,18ARMI1436,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,75096071,M,,63.8,35,N,,,,,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147337156A,M,,62.5,35,N,,,,,,captured in QU 5/5 and 5/8,0,0,,
Blackrock-C,QU,5/8/2018,ANBO,147346127A,M,,62.1,35,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,75073624,M,,62,35,N,,,,,,,0,0,,
Blackrock-C,QU,5/21/2019,ANBO,3293805,M,,61.81,35,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147354564A,M,,60.4,35,N,,,,,,,0,0,,
Blackrock-C,SP,5/22/2018,ANBO,147336455A,M,,60,35,Y,0,1800900049,pos,1011851.68,18ARMI1393,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147353760A,M,,59.7,35,N,,,,,,captured QU 5/8,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,75093823,M,,59.7,35,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,70779007,M,,59.2,35,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,152205726A,M,,59.1,35,Y,1,1603700150,,,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,70779007,M,,57.1,35,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147345311A,M,,51.6,35,N,,,,,,,0,0,,
Blackrock-C,QU,5/1/2021,ANBO,75055853,M,,69.1,34.6,Y,0,2002200142,pos,106.27,,,0,0,,
Blackrock-C,ML,5/27/2021,ANBO,3289277,M,,70.5,34.1,N,,,,,,,0,0,,
Blackrock-C,ML,5/18/2018,ANBO,147336467A,M,,69.5,34,N,,,,,,captured QU 5/8,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,147351295A,M,,69.1,34,N,,,,,,,0,0,,
Blackrock-C,ML,5/25/2021,ANBO,3294346,M,,68.5,34,Y,0,2002200094,pos,652.42,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147355353A,M,,68,34,N,,,,,,captured QU 5/5,0,0,,
Blackrock-C,SP,5/26/2018,ANBO,147351295A,M,,67.7,34,Y,0,1800900041,neg,0,,captured ML 5/22,0,0,,
Blackrock-C,ML,5/18/2018,ANBO,147357247A,M,,67.3,34,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147352624A,M,,66.2,34,N,,,,,,,0,0,,
Blackrock-C,ML,5/18/2018,ANBO,101378047,M,,65.5,34,N,,,,,,"captured QU 5/5, 5/8, and 5/15",0,0,,
Blackrock-C,ML,5/13/2018,ANBO,147357333A,M,,63,34,Y,0,1800900061,pos,26197.32,,captured QU 5/5,0,0,,
Blackrock-C,ML,6/2/2020,ANBO,3811600,M,,62.9,34,Y,0,1603600195,pos,111541.65,19ARMI2830,,0,0,,
Blackrock-C,QU,5/8/2018,ANBO,70604773,M,,62.5,34,N,,,,,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,100589009,M,,62.5,34,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147356135A,M,,62.3,34,N,,,,,,,0,0,,
Blackrock-C,QU,5/30/2019,ANBO,147339623A,M,,61.1,34,N,,,,,,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,75093543,M,,61,34,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,3011575,M,,60.4,34,N,,,,,,,0,0,,
Blackrock-C,ML,5/14/2018,ANBO,147364613A,M,,57.3,34,N,,,,,,Toads caught from N. ML,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,75053586,M,,57.1,34,N,,,,,,,0,0,,
Blackrock-C,ML,5/25/2021,ANBO,75046279,M,,67.7,33.8,Y,0,2002200085,pos,398.89,,,0,0,,
Blackrock-C,QU,5/12/2021,ANBO,75080354,M,,71,33.7,Y,0,2002200126,neg,0,,,0,0,,
Blackrock-C,QU,5/3/2018,ANBO,147352624A,M,,63.9,33.7,Y,0,1800700352,pos,252.16,,,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,3303285,M,,66.8,33.6,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,70630538,M,,66.1,33.2,Y,1,1603600243,,,,,0,0,,
Blackrock-C,QU,5/8/2018,ANBO,101378047,M,,67.7,33,N,,,,,,captured QU 5/5,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,101378047,M,,66.9,33,N,,,,,,,0,0,,
Blackrock-C,QU,5/8/2018,ANBO,147355215A,M,,66.1,33,N,,,,,,,0,0,,
Blackrock-C,ML,5/18/2018,ANBO,147354496A,M,,65.2,33,N,,,,,,,0,0,,
Blackrock-C,QU,5/25/2019,ANBO,3289630,M,,64.3,33,N,,,,,,,0,0,,
Blackrock-C,QU,5/12/2019,ANBO,147338271A,M,,63.11,33,Y,0,1902500081,neg,0,,,0,0,,
Blackrock-C,QU,5/16/2019,ANBO,147348394A,M,,61.46,33,Y,0,1902500160,pos,182311.39,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,75093543,M,,60.4,33,N,,,,,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,3017841,M,,60.2,33,Y,0,1603700126,pos,116.51,,,0,0,,
Blackrock-H,HE,5/13/2020,ANBO,70613887,M,,58.6,33,Y,0,1603600238,pos,202483.40,19ARMI2787,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,3795794,M,,57.9,33,Y,0,1603600220,pos,84871.70,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147355353A,M,,57.6,33,N,,,,,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,75073624,M,,57,33,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,70606352,M,,56.1,33,N,,,,,,,0,0,,
Blackrock-C,QU,5/3/2018,ANBO,147346394A,M,,69,32.2,N,,,,,,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,152204486A,M,,68.1,32,N,,,,,,,0,0,,
Blackrock-C,QU,5/25/2019,ANBO,152207093A,M,,67.9,32,N,,,,,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,152207093A,M,,65.5,32,N,,,,,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147353313A,M,,64.9,32,N,,,,,,"Pink ring on drink patch, raw/pink thumbs. From amplexis?",1,0,,
Blackrock-C,QU,5/8/2018,ANBO,147357460A,M,,63.8,32,N,,,,,,captured Qu 5/5,0,0,,
Blackrock-C,QU,5/16/2019,ANBO,147338271A,M,,63.32,32,Y,0,1902500120,pos,2844.90,,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,147354631A,M,,62.5,32,N,,,,,,captured QU 5/15,0,0,,
Blackrock-C,QU,5/30/2019,ANBO,3289630,M,,62.1,32,N,,,,,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147352624A,M,,60.1,32,N,,,,,,captured QU 5/3 and 5/5,0,0,,
Blackrock-C,QU,5/9/2019,ANBO,3298020,M,,60.02,32,Y,0,1902500066,pos,738.57,,leech removed from left hand,1,0,,
Blackrock-C,QU,5/26/2020,ANBO,75096071,M,,59.8,32,N,,,,,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147345311A,M,,59.7,32,N,,,,,,captured QU 5/5,0,0,,
Blackrock-C,ML,5/18/2018,ANBO,3815111,M,,59.1,32,N,,,,,,(Genomic stuff),0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147339143A,M,,59.1,32,N,,,,,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,75082320,M,,58.6,32,N,,,,,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,101378047,M,,58.3,32,N,,,,,,captured QU 5/5 and 5/8,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,3287263,M,,57,32,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,70780051,M,,55.7,32,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147352366A,M,,53.2,32,N,,,,,,,0,0,,
Blackrock-C,QU,5/12/2021,ANBO,75073315,M,,66.4,31.9,Y,0,2002200121,neg,0,,,0,0,,
Blackrock-H,HE,5/18/2021,ANBO,3297549,M,,61.9,31.9,Y,0,2002200031,pos,581451.01,,,0,0,,
Blackrock-C,MW,5/17/2021,ANBO,152207043A,M,,65.9,31.8,Y,0,2002200112,pos,22.17,21ARMI1410,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,147339623A,M,,59.6,31.7,Y,1,1603700146,,,,,0,0,,
Blackrock-C,QU,5/6/2021,ANBO,3269118,M,,76,31.5,Y,0,2002200130,neg,0,21ARMI1422,,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,3281840,M,,64.4,31.3,N,,,,,,,0,0,,
Blackrock-C,QU,5/13/2021,ANBO,152204782A,M,,66.2,31,N,,,,,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147348394A,M,,65.5,31,N,,,,,,captured QU 5/3,0,0,,
Blackrock-H,HE,5/29/2021,ANBO,3294316,M,,64.6,31,Y,0,2002200075,pos,81416.09,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,70630538,M,,63.6,31,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,75082320,M,,61.8,31,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147336716A,M,,60.6,31,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147357333A,M,,58,31,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147357460A,M,,56.8,31,N,,,,,,,0,0,,
Blackrock-H,HE,5/28/2020,ANBO,3785049,M,,53.5,31,Y,0,1603600187,pos,614447.41,,,0,0,,
Blackrock-C,QU,5/3/2018,ANBO,147336716A,M,,59,30.8,Y,0,1800700355,pos,392.96,18ARMI1415,,0,0,,
Blackrock-C,QU,5/3/2018,ANBO,147348394A,M,,68.2,30.6,Y,0,1800700356,pos,522.10,18ARMI1354,,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,3278123,M,,68.3,30.4,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3287263,M,,63.8,30.4,Y,1,1603600151,,,,,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,3291583,M,,62.2,30.3,N,,,,,,,0,0,,
Blackrock-C,QU,5/13/2021,ANBO,152205287A,M,,65.2,30.2,N,,,,,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,3812606,M,,67.8,30,Y,0,1603600227,pos,5755379.25,,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,147346394A,M,,66,30,N,,,,,,captured QU 5/3 and 5/8,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147353271A,M,,65.2,30,N,,,,,,,0,0,,
Blackrock-C,ML,5/18/2018,ANBO,147339143A,M,,63.8,30,N,,,,,,captured QU 5/5,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147336797A,M,,62.9,30,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,2889027,M,,62.6,30,N,,,,,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147339623A,M,,62.5,30,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,3287263,M,,59.4,30,N,,,,,,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,75072075,M,,58,30,N,,,,,,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,75046279,M,,56.4,30,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147357645A,M,,52.5,30,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,152205726A,M,,51.8,30,N,,,,,,,0,0,,
Blackrock-C,QU,5/1/2021,ANBO,75073838,M,,62,29.5,Y,0,2002200147,pos,51.57,,,0,0,,
Blackrock-C,ML,6/1/2021,ANBO,3286092,M,,66.9,29.4,Y,0,2100200206,pos,23539.29,,,0,0,,
Blackrock-C,QU,5/3/2018,ANBO,147357645A,M,,49,29.2,Y,0,1800700102,pos,15995.30,,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,147339623A,M,,69.1,29,N,,,,,,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,3812844,M,,67.6,29,N,,,,,,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,147355164A,M,,66,29,N,,,,,,,0,0,,
Blackrock-C,QU,5/15/2018,ANBO,147338271A,M,,62.9,29,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,3018379,M,,61.5,29,N,,,,,,,0,0,,
Blackrock-C,QU,5/30/2019,ANBO,3298020,M,,60.9,29,N,,,,,,,0,0,,
Blackrock-C,QU,5/12/2019,ANBO,3270263,M,,58.35,29,Y,0,1902500088,neg,0,,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,3006353,M,,57.6,29,N,,,,,,,0,0,,
Blackrock-C,MW,5/20/2021,ANBO,3272016,M,,66.3,28.6,Y,0,2002200023,pos,1386.26,,,0,0,,
Blackrock-C,ML,5/27/2021,ANBO,3266123,M,,69.6,28.4,N,,,,,,,0,0,,
Blackrock-C,QU,5/6/2021,ANBO,3271111,M,,65.8,28,Y,0,2002200133,pos,36185.54,,,0,0,,
Blackrock-C,QU,5/30/2019,ANBO,3297357,M,,61.9,28,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2019,ANBO,3298020,M,,59.95,28,Y,0,1902500167,pos,600.78,,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,3293293,M,,52.2,28,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3278032,M,,65.9,27.3,Y,1,1603600069,,,19ARMI2092,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,147352335A,M,,63.2,27,N,,,,,,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,152207093A,M,,59.2,27,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2018,ANBO,147337350A,M,,56.2,27,N,,,,,,,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,003293293A,M,,63,26.9,N,,,,,,,0,0,,
Blackrock-C,ML,5/22/2018,ANBO,147351561A,M,,63.2,26,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,75046279,M,,60.5,26,N,,,,,,,0,0,,
Blackrock-C,ML,5/18/2018,ANBO,147337350A,M,,59.5,26,N,,,,,,captured QU 5/5,0,0,,
Blackrock-C,QU,5/28/2021,ANBO,3282848,M,,62.3,25.9,N,,,,,,,0,0,,
Blackrock-C,ML,5/25/2021,ANBO,3290063,M,,63.2,25.3,Y,0,2002200057,neg,0,21ARMI1437,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,75064377,M,,66,25,N,,,,,,,0,0,,
Blackrock-C,QU,5/25/2019,ANBO,152206234A,M,,57.1,25,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,3296278,M,,55.4,25,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,70608591,M,,46.6,25,N,,,,,,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,3296278,M,,51.9,24,N,,,,,,,0,0,,
Blackrock-C,QU,5/16/2020,ANBO,3269118,M,,51.3,24,N,,,,,,,0,0,,
Blackrock-C,QU,5/26/2020,ANBO,3813827,M,,48.2,24,Y,0,1603600219,pos,1661748.20,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3006353,M,,56.7,23.2,Y,1,1603700134,,,,,0,0,,
Blackrock-C,QU,5/25/2019,ANBO,152205726A,M,,56.8,23,N,,,,,,,0,0,,
Blackrock-C,QU,5/12/2019,ANBO,152206234A,M,,52.6,23,Y,0,1902500103,pos,225.96,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3283383,M,,56.6,22.5,Y,1,1603700141,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3293293,M,,64.7,22.3,Y,1,1603700140,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3271111,M,,62.8,22.3,Y,1,1603600072,,,,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,3272043,U,,51.3,22,N,,,,,,,0,0,,
Blackrock-C,QU,5/12/2021,ANBO,75046555,M,,59.3,21.6,Y,0,2002200120,neg,0,,,0,0,,
Blackrock-C,QU,5/30/2019,ANBO,152205726A,M,,53.5,21,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3269118,M,,55.7,20.5,Y,1,1603700138,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3272043,U,,56.9,19.6,Y,1,1603700144,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3269623,M,,58.7,19.3,Y,1,1603700130,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3296278,M,,62.3,16.5,Y,1,1603600152,,,,,0,0,,
Blackrock-C,MW,6/3/2019,ANBO,3285038,M,,48.8,14,Y,0,1902500204,pos,639.65,,,0,0,,
Blackrock-C,QU,5/7/2020,ANBO,3292323,M,,86.7,,N,,,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,3300314,M,,80.1,,Y,1,1603600153,,,,,0,0,,
Blackrock-C,QU,5/5/2020,ANBO,152205362A,M,,79.3,,Y,1,1603700132,,,,,0,0,,
Blackrock-H,HE,6/4/2019,ANBO,3279000,M,,76.5,,Y,0,1902500218,pos,235874.63,,,0,0,,
