Region,State,Site,SubSite,Species,CaptureDate,PrimNum,SecNumConsec,Captures,Notes
NE,MA,SPR,1,NOVI,4/24/2020,,,,
NE,MA,SPR,1,NOVI,4/26/2021,,,,
NE,MA,SPR,1,NOVI,4/27/2021,,,,
NE,MA,SPR,1,NOVI,4/28/2021,,,,
NE,MA,SPR,1,NOVI,4/29/2021,,,,
NE,MA,SPR,1,NOVI,4/30/2021,,,,
NE,MA,SPR,1,NOVI,5/10/2021,,,,
NE,MA,SPR,1,NOVI,5/11/2021,,,,
NE,MA,SPR,1,NOVI,5/12/2021,,,,
NE,MA,SPR,1,NOVI,5/13/2021,,,,
NE,MA,SPR,1,NOVI,5/14/2021,,,,
NE,MA,SPR,1,NOVI,5/15/2019,,,,
NE,MA,SPR,1,NOVI,5/16/2019,,,,
NE,MA,SPR,1,NOVI,5/17/2019,,,,
NE,MA,SPR,1,NOVI,5/18/2020,,,,
NE,MA,SPR,1,NOVI,5/19/2020,,,,
NE,MA,SPR,1,NOVI,5/20/2020,,,,
NE,MA,SPR,1,NOVI,5/21/2020,,,,
NE,MA,SPR,1,NOVI,5/22/2020,,,,
NE,MA,SPR,1,NOVI,5/24/2021,,,,
NE,MA,SPR,1,NOVI,5/25/2021,,,,
NE,MA,SPR,1,NOVI,5/26/2021,,,,
NE,MA,SPR,1,NOVI,5/27/2021,,,,
NE,MA,SPR,1,NOVI,5/28/2021,,,,
NE,MA,SPR,1,NOVI,5/29/2019,,,,
NE,MA,SPR,1,NOVI,5/30/2019,,,,
NE,MA,SPR,1,NOVI,5/31/2019,,,,
NE,MA,SPR,1,NOVI,6/10/2021,,,,
NE,MA,SPR,1,NOVI,6/11/2019,,,,
NE,MA,SPR,1,NOVI,6/11/2021,,,,
NE,MA,SPR,1,NOVI,6/12/2019,,,,
NE,MA,SPR,1,NOVI,6/13/2019,,,,
NE,MA,SPR,1,NOVI,6/14/2019,,,,
NE,MA,SPR,1,NOVI,6/24/2019,,,,
NE,MA,SPR,1,NOVI,6/25/2019,,,,
NE,MA,SPR,1,NOVI,6/26/2019,,,,
NE,MA,SPR,1,NOVI,7/30/2019,,,,
NE,MA,SPR,1,NOVI,7/31/2019,,,,
NE,MA,SPR,2,NOVI,4/7/2020,,,,
NE,MA,SPR,2,NOVI,4/8/2020,,,,
NE,MA,SPR,2,NOVI,4/9/2020,,,,
NE,MA,SPR,2,NOVI,5/6/2020,,,,
NE,MA,SPR,2,NOVI,6/9/2021,,,,
NE,MA,SPR,2,NOVI,4/10/2020,,,,
NE,MA,SPR,2,NOVI,4/24/2020,,,,
NE,MA,SPR,2,NOVI,4/26/2021,,,,
NE,MA,SPR,2,NOVI,4/28/2021,,,,
NE,MA,SPR,2,NOVI,4/29/2021,,,,
NE,MA,SPR,2,NOVI,5/12/2021,,,,
NE,MA,SPR,2,NOVI,5/13/2021,,,,
NE,MA,SPR,2,NOVI,5/14/2021,,,,
NE,MA,SPR,2,NOVI,5/15/2019,,,,
NE,MA,SPR,2,NOVI,5/16/2019,,,,
NE,MA,SPR,2,NOVI,5/17/2019,,,,
NE,MA,SPR,2,NOVI,5/25/2021,,,,
NE,MA,SPR,2,NOVI,5/27/2021,,,,
NE,MA,SPR,2,NOVI,5/29/2019,,,,
NE,MA,SPR,2,NOVI,5/31/2019,,,,
NE,MA,SPR,2,NOVI,6/10/2019,,,,
NE,MA,SPR,2,NOVI,6/11/2019,,,,
NE,MA,SPR,2,NOVI,6/11/2021,,,,
NE,MA,SPR,2,NOVI,6/12/2019,,,,
NE,MA,SPR,2,NOVI,6/13/2019,,,,
NE,MA,SPR,2,NOVI,6/14/2019,,,,
NE,MA,SPR,2,NOVI,6/24/2019,,,,
NE,MA,SPR,2,NOVI,6/25/2019,,,,
NE,MA,SPR,3,NOVI,5/16/2019,,,,
NE,MA,SPR,3,NOVI,5/17/2019,,,,
NE,MA,SPR,3,NOVI,5/29/2019,,,,
NE,MA,SPR,3,NOVI,5/30/2019,,,,
NE,MA,SPR,3,NOVI,5/31/2019,,,,
NE,PA,ScotiaBarrens,A04,NOVI,3/11/2020,,,,
NE,PA,ScotiaBarrens,A04,NOVI,3/17/2020,,,,
