Site,SubSite,Species,CaptureDate,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
JonesPond,1,ANBO,5/2/2018,147338330A,M,,74,49.5,Y,0,1800200268,neg,0,18ARMI0723,,0,0,,
JonesPond,1,ANBO,5/3/2018,147338330A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147338330A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/18/2020,147338330A,M,,,,N,,,,,,caught on 5/17/20,0,0,,
JonesPond,1,ANBO,5/25/2020,147338330A,M,,,,N,,,,,,caught on 5/17/20,0,0,,
JonesPond,1,ANBO,5/9/2019,147338632A,M,,85,56.5,Y,0,1902400122,pos,965.38,19ARMI1289,,0,0,,
JonesPond,1,ANBO,5/10/2019,147338632A,M,,85,56.5,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/14/2019,147338632A,M,,85,56.5,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147339193A,M,,70,39.5,Y,0,1800200281,neg,0,18ARMI0708,,0,0,,
JonesPond,1,ANBO,5/3/2018,147339193A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147339193A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147339234A,M,,70,45,Y,0,1800200297,pos,135.45,18ARMI0713,,0,0,,
JonesPond,1,ANBO,5/3/2018,147339234A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147339234A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147339272A,F,,82,73.7,Y,0,1800200211,pos,79226.85,18ARMI0554,,0,0,,
JonesPond,1,ANBO,5/4/2018,147339272A,F,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/17/2020,147339277A,F,,103,124.9,Y,0,2001800006,pos,198.66,20ARMI0434,gravid,0,0,,
